CA,Year,Month,Time_ID,Crime_Category,Crime_Count,Crime_Rate
1,2015,1,2015-01,Drug-Related Crimes,19,0.34352145653097566
1,2015,1,2015-01,Financial Crimes,26,0.4700819931476509
1,2015,1,2015-01,Other Crimes,21,0.37968160985002575
1,2015,1,2015-01,Property Crimes,123,2.2238494291215796
1,2015,1,2015-01,Public Order Crimes,4,0.07232030663810016
1,2015,1,2015-01,Sex-Related Crimes,16,0.28928122655240057
1,2015,1,2015-01,Violent Crimes,88,1.5910467460382034
1,2015,2,2015-02,Drug-Related Crimes,20,0.3616015331905007
1,2015,2,2015-02,Financial Crimes,27,0.48816206980717597
1,2015,2,2015-02,Other Crimes,15,0.2712011498928756
1,2015,2,2015-02,Property Crimes,109,1.9707283558882291
1,2015,2,2015-02,Sex-Related Crimes,6,0.10848045995715024
1,2015,2,2015-02,Violent Crimes,69,1.2475252895072275
1,2015,3,2015-03,Drug-Related Crimes,13,0.23504099657382546
1,2015,3,2015-03,Financial Crimes,30,0.5424022997857512
1,2015,3,2015-03,Other Crimes,17,0.3073613032119257
1,2015,3,2015-03,Property Crimes,121,2.1876892758025295
1,2015,3,2015-03,Public Order Crimes,12,0.21696091991430042
1,2015,3,2015-03,Sex-Related Crimes,7,0.12656053661667527
1,2015,3,2015-03,Violent Crimes,93,1.6814471293358286
1,2015,4,2015-04,Drug-Related Crimes,8,0.1446406132762003
1,2015,4,2015-04,Financial Crimes,20,0.3616015331905007
1,2015,4,2015-04,Other Crimes,19,0.34352145653097566
1,2015,4,2015-04,Property Crimes,115,2.079208815845379
1,2015,4,2015-04,Public Order Crimes,7,0.12656053661667527
1,2015,4,2015-04,Sex-Related Crimes,2,0.03616015331905008
1,2015,4,2015-04,Violent Crimes,67,1.2113651361881774
1,2015,5,2015-05,Drug-Related Crimes,20,0.3616015331905007
1,2015,5,2015-05,Financial Crimes,18,0.32544137987145066
1,2015,5,2015-05,Other Crimes,24,0.4339218398286009
1,2015,5,2015-05,Property Crimes,156,2.8204919588859054
1,2015,5,2015-05,Public Order Crimes,5,0.09040038329762518
1,2015,5,2015-05,Sex-Related Crimes,7,0.12656053661667527
1,2015,5,2015-05,Violent Crimes,102,1.8441678192715538
1,2015,6,2015-06,Drug-Related Crimes,19,0.34352145653097566
1,2015,6,2015-06,Financial Crimes,17,0.3073613032119256
1,2015,6,2015-06,Other Crimes,26,0.4700819931476509
1,2015,6,2015-06,Property Crimes,135,2.44081034903588
1,2015,6,2015-06,Public Order Crimes,8,0.1446406132762003
1,2015,6,2015-06,Sex-Related Crimes,6,0.10848045995715022
1,2015,6,2015-06,Violent Crimes,87,1.5729666693786784
1,2015,7,2015-07,Drug-Related Crimes,19,0.34352145653097566
1,2015,7,2015-07,Financial Crimes,14,0.2531210732333505
1,2015,7,2015-07,Other Crimes,23,0.41584176316907584
1,2015,7,2015-07,Property Crimes,185,3.344814182012132
1,2015,7,2015-07,Public Order Crimes,6,0.10848045995715024
1,2015,7,2015-07,Sex-Related Crimes,9,0.16272068993572533
1,2015,7,2015-07,Violent Crimes,105,1.8984080492501287
1,2015,8,2015-08,Drug-Related Crimes,22,0.3977616865095508
1,2015,8,2015-08,Financial Crimes,17,0.3073613032119256
1,2015,8,2015-08,Other Crimes,25,0.4520019164881259
1,2015,8,2015-08,Property Crimes,163,2.947052495502581
1,2015,8,2015-08,Public Order Crimes,6,0.10848045995715024
1,2015,8,2015-08,Sex-Related Crimes,3,0.05424022997857512
1,2015,8,2015-08,Violent Crimes,78,1.410245979442953
1,2015,9,2015-09,Drug-Related Crimes,19,0.34352145653097566
1,2015,9,2015-09,Financial Crimes,21,0.37968160985002575
1,2015,9,2015-09,Other Crimes,25,0.4520019164881259
1,2015,9,2015-09,Property Crimes,161,2.910892342183531
1,2015,9,2015-09,Public Order Crimes,10,0.18080076659525035
1,2015,9,2015-09,Sex-Related Crimes,9,0.16272068993572533
1,2015,9,2015-09,Violent Crimes,101,1.8260877426120288
1,2015,10,2015-10,Drug-Related Crimes,20,0.3616015331905007
1,2015,10,2015-10,Financial Crimes,18,0.32544137987145066
1,2015,10,2015-10,Other Crimes,20,0.3616015331905007
1,2015,10,2015-10,Property Crimes,169,3.0555329554597312
1,2015,10,2015-10,Public Order Crimes,6,0.10848045995715024
1,2015,10,2015-10,Sex-Related Crimes,6,0.10848045995715021
1,2015,10,2015-10,Violent Crimes,98,1.7718475126334534
1,2015,11,2015-11,Drug-Related Crimes,28,0.5062421464667011
1,2015,11,2015-11,Financial Crimes,13,0.23504099657382546
1,2015,11,2015-11,Other Crimes,17,0.3073613032119256
1,2015,11,2015-11,Property Crimes,131,2.36849004239778
1,2015,11,2015-11,Public Order Crimes,7,0.12656053661667527
1,2015,11,2015-11,Sex-Related Crimes,6,0.10848045995715024
1,2015,11,2015-11,Violent Crimes,59,1.066724522911977
1,2015,12,2015-12,Drug-Related Crimes,12,0.21696091991430042
1,2015,12,2015-12,Financial Crimes,20,0.3616015331905007
1,2015,12,2015-12,Other Crimes,17,0.3073613032119256
1,2015,12,2015-12,Property Crimes,140,2.531210732333505
1,2015,12,2015-12,Public Order Crimes,1,0.01808007665952504
1,2015,12,2015-12,Sex-Related Crimes,7,0.12656053661667527
1,2015,12,2015-12,Violent Crimes,81,1.4644862094215279
1,2016,1,2016-01,Drug-Related Crimes,7,0.126414944413543
1,2016,1,2016-01,Financial Crimes,29,0.5237190554275354
1,2016,1,2016-01,Other Crimes,22,0.3973041110139923
1,2016,1,2016-01,Property Crimes,144,2.600535999364314
1,2016,1,2016-01,Public Order Crimes,8,0.1444742221869063
1,2016,1,2016-01,Sex-Related Crimes,11,0.19865205550699616
1,2016,1,2016-01,Violent Crimes,91,1.6433942773760593
1,2016,2,2016-02,Drug-Related Crimes,7,0.126414944413543
1,2016,2,2016-02,Financial Crimes,17,0.3070077221471759
1,2016,2,2016-02,Other Crimes,16,0.2889484443738126
1,2016,2,2016-02,Property Crimes,122,2.2032318883503215
1,2016,2,2016-02,Public Order Crimes,5,0.09029638886681644
1,2016,2,2016-02,Sex-Related Crimes,10,0.1805927777336329
1,2016,2,2016-02,Violent Crimes,93,1.679512832922786
1,2016,3,2016-03,Drug-Related Crimes,14,0.252829888827086
1,2016,3,2016-03,Financial Crimes,30,0.5417783332008986
1,2016,3,2016-03,Other Crimes,27,0.48760049988080884
1,2016,3,2016-03,Property Crimes,121,2.185172610576958
1,2016,3,2016-03,Public Order Crimes,4,0.07223711109345315
1,2016,3,2016-03,Sex-Related Crimes,7,0.126414944413543
1,2016,3,2016-03,Violent Crimes,104,1.8781648884297821
1,2016,4,2016-04,Drug-Related Crimes,9,0.1625334999602696
1,2016,4,2016-04,Financial Crimes,17,0.3070077221471759
1,2016,4,2016-04,Other Crimes,19,0.3431262776939025
1,2016,4,2016-04,Property Crimes,150,2.7088916660044933
1,2016,4,2016-04,Public Order Crimes,3,0.054177833320089866
1,2016,4,2016-04,Sex-Related Crimes,7,0.126414944413543
1,2016,4,2016-04,Violent Crimes,113,2.0406983883900516
1,2016,5,2016-05,Drug-Related Crimes,12,0.21671133328035946
1,2016,5,2016-05,Financial Crimes,24,0.4334226665607189
1,2016,5,2016-05,Other Crimes,15,0.2708891666004493
1,2016,5,2016-05,Property Crimes,143,2.5824767215909503
1,2016,5,2016-05,Public Order Crimes,2,0.03611855554672658
1,2016,5,2016-05,Sex-Related Crimes,8,0.1444742221869063
1,2016,5,2016-05,Violent Crimes,114,2.058757666163415
1,2016,6,2016-06,Drug-Related Crimes,9,0.1625334999602696
1,2016,6,2016-06,Financial Crimes,18,0.3250669999205392
1,2016,6,2016-06,Other Crimes,14,0.252829888827086
1,2016,6,2016-06,Property Crimes,171,3.0881364992451226
1,2016,6,2016-06,Public Order Crimes,7,0.126414944413543
1,2016,6,2016-06,Sex-Related Crimes,14,0.252829888827086
1,2016,6,2016-06,Violent Crimes,88,1.5892164440559693
1,2016,7,2016-07,Drug-Related Crimes,4,0.07223711109345315
1,2016,7,2016-07,Financial Crimes,15,0.2708891666004493
1,2016,7,2016-07,Other Crimes,26,0.46954122210744553
1,2016,7,2016-07,Property Crimes,165,2.9797808326049426
1,2016,7,2016-07,Public Order Crimes,4,0.07223711109345315
1,2016,7,2016-07,Sex-Related Crimes,15,0.2708891666004493
1,2016,7,2016-07,Violent Crimes,85,1.5350386107358795
1,2016,8,2016-08,Drug-Related Crimes,10,0.1805927777336329
1,2016,8,2016-08,Financial Crimes,14,0.252829888827086
1,2016,8,2016-08,Other Crimes,24,0.4334226665607189
1,2016,8,2016-08,Property Crimes,157,2.835306610418036
1,2016,8,2016-08,Public Order Crimes,8,0.1444742221869063
1,2016,8,2016-08,Sex-Related Crimes,7,0.126414944413543
1,2016,8,2016-08,Violent Crimes,110,1.9865205550699616
1,2016,9,2016-09,Drug-Related Crimes,8,0.1444742221869063
1,2016,9,2016-09,Financial Crimes,24,0.4334226665607189
1,2016,9,2016-09,Other Crimes,21,0.3792448332406291
1,2016,9,2016-09,Property Crimes,155,2.7991880548713093
1,2016,9,2016-09,Public Order Crimes,6,0.10835566664017973
1,2016,9,2016-09,Sex-Related Crimes,9,0.1625334999602696
1,2016,9,2016-09,Violent Crimes,91,1.6433942773760593
1,2016,10,2016-10,Drug-Related Crimes,6,0.10835566664017973
1,2016,10,2016-10,Financial Crimes,27,0.48760049988080884
1,2016,10,2016-10,Other Crimes,15,0.2708891666004493
1,2016,10,2016-10,Property Crimes,159,2.8714251659647627
1,2016,10,2016-10,Public Order Crimes,8,0.1444742221869063
1,2016,10,2016-10,Sex-Related Crimes,8,0.1444742221869063
1,2016,10,2016-10,Violent Crimes,96,1.7336906662428757
1,2016,11,2016-11,Drug-Related Crimes,2,0.03611855554672658
1,2016,11,2016-11,Financial Crimes,24,0.4334226665607189
1,2016,11,2016-11,Other Crimes,21,0.379244833240629
1,2016,11,2016-11,Property Crimes,146,2.6366545549110403
1,2016,11,2016-11,Public Order Crimes,5,0.09029638886681644
1,2016,11,2016-11,Sex-Related Crimes,8,0.1444742221869063
1,2016,11,2016-11,Violent Crimes,92,1.6614535551494227
1,2016,12,2016-12,Drug-Related Crimes,3,0.054177833320089866
1,2016,12,2016-12,Financial Crimes,24,0.4334226665607189
1,2016,12,2016-12,Other Crimes,19,0.3431262776939025
1,2016,12,2016-12,Property Crimes,115,2.076816943936778
1,2016,12,2016-12,Public Order Crimes,2,0.03611855554672658
1,2016,12,2016-12,Sex-Related Crimes,7,0.126414944413543
1,2016,12,2016-12,Violent Crimes,87,1.5711571662826063
1,2017,1,2017-01,Drug-Related Crimes,4,0.0721541067411778
1,2017,1,2017-01,Financial Crimes,21,0.37880906039118345
1,2017,1,2017-01,Other Crimes,16,0.2886164269647112
1,2017,1,2017-01,Property Crimes,160,2.8861642696471126
1,2017,1,2017-01,Public Order Crimes,5,0.09019263342647225
1,2017,1,2017-01,Sex-Related Crimes,13,0.23450084690882783
